id,Kanji,Strokes,Grade,JLPT-test,"Name of Radical","Reading within Joyo","Reading beyond Joyo"
1,亜,7,7,1,Ni,ア,
2,哀,9,7,1,"Kuchi, Kuchihen",アイ、あわ-れ、あわ-れむ,かな
3,挨,10,7,0,Tehen,アイ,
4,愛,13,4,3,"Kokoro, Risshinben, Shitagokoro",アイ,オ、いと、め
5,曖,17,7,0,"Nichi, Nichihen",アイ,
6,悪,11,3,4,"Kokoro, Risshinben, Shitagokoro",アク、オ、わる-い,
7,握,12,7,1,Tehen,アク、にぎ-る,
8,圧,5,5,2,"Tsuchi, Tsuchihen",アツ,おさ
9,扱,6,7,1,Tehen,あつか-う,
10,宛,8,7,0,Ukanmuri,あ-てる,エン
11,嵐,12,7,1,"Yama, Yamahen",あらし,ラン
12,安,6,3,4,Ukanmuri,アン、やす-い,
13,案,10,4,2,"Ki, Kihen",アン,
14,暗,13,3,3,"Nichi, Nichihen",アン、くら-い,
15,以,5,4,4,"Hito, Ninben, Hitoyane",イ,もち、ゆえ、も
16,衣,6,4,2,"Koromo, Koromohen",イ、ころも,エ、きぬ、き、ぎぬ、ぎ
17,位,7,4,3,"Hito, Ninben, Hitoyane",イ、くらい,
18,囲,7,4,2,Kunigamae,イ、かこ-む、かこ-う,
19,医,7,3,4,Kakushigamae,イ,
20,依,8,7,2,"Hito, Ninben, Hitoyane",イ、[エ],よ
21,委,8,3,2,"Onna, Onnahen",イ、ゆだ-ねる,まか
22,威,9,7,1,"Onna, Onnahen",イ,おど、たけ
23,為,9,7,1,"Hi, Hihen, Renga",イ,ため、な
24,畏,9,7,0,"Ta, Tahen",イ、おそ-れる,かしこ
25,胃,9,4,2,"Niku, Nikuzuki",イ,
26,尉,11,7,1,Sun,イ,じょう
27,異,11,6,2,"Ta, Tahen",イ、こと,あや
28,移,11,5,2,"Nogi, Nogihen",イ、うつ-る、うつ-す,
29,萎,11,7,0,Kusakanmuri,イ、な-える,しぼ、しお
30,偉,12,7,3,"Hito, Ninben, Hitoyane",イ、えら-い,
31,椅,12,7,0,"Ki, Kihen",イ,
32,彙,13,7,0,Keigashira,イ,
33,意,13,3,4,"Kokoro, Risshinben, Shitagokoro",イ,
34,違,13,7,3,Shinnyoo,イ、ちが-う、ちが-える,たが
35,維,14,7,1,"Ito, Itohen",イ,
36,慰,15,7,1,"Kokoro, Risshinben, Shitagokoro",イ、なぐさ-める、なぐさ-む,
37,遺,15,6,1,Shinnyoo,イ、[ユイ],のこ
38,緯,16,7,1,"Ito, Itohen",イ,よこいと
39,域,11,6,2,"Tsuchi, Tsuchihen",イキ,
40,育,8,3,3,"Niku, Nikuzuki",イク、そだ-つ、そだ-てる、はぐく-む,
41,一,1,1,5,Ichi,イチ、イツ、ひと、ひと-つ,
42,壱,7,7,1,Samurai,イチ,
43,逸,11,7,1,Shinnyoo,イツ,イチ
44,茨,9,7,0,Kusakanmuri,[いばら],
45,芋,6,7,1,Kusakanmuri,いも,
46,引,4,2,3,"Yumi, Yumihen",イン、ひ-く、ひ-ける,
47,印,6,4,2,"Fushizukuri, Warifu",イン、しるし,
48,因,6,5,3,Kunigamae,イン、よ-る,ちな
49,咽,9,7,0,"Kuchi, Kuchihen",イン,のど、むせ
50,姻,9,7,1,"Onna, Onnahen",イン,
51,員,10,3,4,"Kuchi, Kuchihen",イン,
52,院,10,3,4,Kozatohen,イン,エン
53,淫,11,7,0,"Mizu, Sanzui, Shitamizu",イン、みだ-ら,
54,陰,11,7,1,Kozatohen,イン、かげ、かげ-る,
55,飲,12,3,4,"Shoku, Shokuhen",イン、の-む,
56,隠,14,7,1,Kozatohen,イン、かく-す、かく-れる,オン
57,韻,19,7,1,Oto,イン,
58,右,5,1,5,"Kuchi, Kuchihen",ウ、ユウ、みぎ,
59,宇,6,6,2,Ukanmuri,ウ,
60,羽,6,2,2,Hane,ウ、は、はね,わ
61,雨,8,1,5,"Ame, Amekanmuri",ウ、あめ、[あま],
62,唄,10,7,1,"Kuchi, Kuchihen",[うた],バイ
63,鬱,29,7,0,"Cho, Nioizake",ウツ,ふさ
