id,Kanji,Old Kanji,Radical,Strokes,Grade,JLPT,Meanings,Kun yomi,Kun romaji,On yomi,On romaji
1,亜,亞,二,7,S,1,"sub-, Asia",,,ア,a
2,哀,,口,9,S,1,pathetic,"あわ-れ, あわ-れむ"," awa-re,  awa-remu",アイ,ai
3,挨,,手,10,S,0,push open,,,アイ,ai
4,愛,,心,13,4,3,love,,,アイ,ai
5,曖,,日,17,S,0,not clear,,,アイ,ai
6,悪,惡,心,11,3,4,bad,わる-い, waru-i,"アク, オ","aku,  o"
7,握,,手,12,S,1,grip,にぎ-る, nigi-ru,アク,aku
8,圧,壓,土,5,5,2,pressure,,,アツ,atsu
9,扱,,手,6,S,1,handle,あつか-う,atsuka-u,,
10,宛,,宀,8,S,0,allocate,あ-てる,a-teru,,
11,嵐,,山,12,S,1,storm,あらし,arashi,,
12,安,,宀,6,3,4,cheap,やす-い, yasu-i,アン,an
13,案,,木,10,4,2,plan,,,アン,an
14,暗,,日,13,3,3,dark,くら-い, kura-i,アン,an
15,以,,人,5,4,4,by means of,,,イ,i
16,衣,,衣,6,4,2,clothes,ころも, koromo,イ,i
17,位,,人,7,4,3,rank,くらい, kurai,イ,i
18,囲,圍,囗,7,5,2,surround,"かこ-む, かこ-う"," kako-mu,  kako-u",イ,i
19,医,醫,酉,7,3,4,doctor,,,イ,i
20,依,,人,8,S,2,reliant,,,"イ, （エ）","i,  (e)"
21,委,,女,8,3,2,committee,ゆだ-ねる, yuda-neru,イ,i
22,威,,女,9,S,1,intimidate,,,イ,i
23,為,爲,爪,9,S,1,do,,,イ,i
24,畏,,田,9,S,0,fear,おそ-れる, oso-reru,イ,i
25,胃,,肉,9,6,2,stomach,,,イ,i
26,尉,,寸,11,S,1,military officer,,,イ,i
27,異,,田,11,6,2,uncommon,こと, koto,イ,i
28,移,,禾,11,5,2,shift,"うつ-る, うつ-す"," utsu-ru,  utsu-su",イ,i
29,萎,,艸,11,S,0,wither,な-える, na-eru,イ,i
30,偉,,人,12,S,3,admirable,えら-い, era-i,イ,i
31,椅,,木,12,S,0,chair,,,イ,i
32,彙,,彐,13,S,0,same kind,,,イ,i
33,意,,心,13,3,4,idea,,,イ,i
34,違,,辵,13,S,3,differ,"ちが-う, ちが-える"," chiga-u,  chiga-eru",イ,i
35,維,,糸,14,S,1,fiber,,,イ,i
36,慰,,心,15,S,1,consolation,"なぐさ-める, なぐさ-む"," nagusa-meru,  nagusa-mu",イ,i
37,遺,,辵,15,6,1,bequeath,,,"イ, （ユイ）","i,  (yui)"
38,緯,,糸,16,S,1,horizontal,,,イ,i
39,域,,土,11,6,2,range,,,イキ,iki
40,育,,肉,8,3,3,nurture,"そだ-つ, そだ-てる, はぐく-む"," soda-tsu,  soda-teru,  haguku-mu",イク,iku
41,一,,一,1,1,5,one,"ひと, ひと-つ"," hito,  hito-tsu","イチ, イツ","ichi,  itsu"
42,壱,壹,士,7,S,1,one (falsification prevention),,,イチ,ichi
43,逸,逸,辵,11,S,1,deviate,,,イツ,itsu
44,茨,,艸,9,4,0,thorn,（いばら）,(ibara),,
45,芋,,艸,6,S,1,potato,いも,imo,,
46,引,,弓,4,2,3,pull,"ひ-く, ひ-ける"," hi-ku,  hi-keru",イン,in
47,印,,卩,6,4,2,mark,しるし, shirushi,イン,in
48,因,,囗,6,5,3,cause,よ-る, yo-ru,イン,in
49,咽,,口,9,S,0,throat,,,イン,in
50,姻,,女,9,S,1,matrimony,,,イン,in
51,員,,口,10,3,4,member,,,イン,in
52,院,,阜,10,3,4,institution,,,イン,in
53,淫,,水,11,S,0,lewdness,みだ-ら, mida-ra,イン,in
54,陰,,阜,11,S,1,shade,"かげ, かげ-る"," kage,  kage-ru",イン,in
55,飲,,食,12,3,4,drink,の-む, no-mu,イン,in
56,隠,隱,阜,14,S,1,conceal,"かく-す, かく-れる"," kaku-su,  kaku-reru",イン,in
57,韻,,音,19,S,1,rhyme,,,イン,in
58,右,,口,5,1,5,right (direction),みぎ, migi,"ウ, ユウ","u,  yuu"
59,宇,,宀,6,6,2,eaves,,,ウ,u
60,羽,,羽,6,2,2,feather,"は, はね"," ha,  hane",ウ,u
61,雨,,雨,8,1,5,rain,"あめ, （あま）"," ame,  (ama)",ウ,u
62,唄,,口,10,S,1,songs with samisen,（うた）,(uta),,
63,鬱,,鬯,29,S,0,gloom,,,ウツ,utsu
64,畝,,田,10,S,1,furrow,うね,une,,
65,浦,,水,10,S,1,bay,うら,ura,,
66,運,,辵,12,3,4,carry,はこ-ぶ, hako-bu,ウン,un
67,雲,,雨,12,2,2,cloud,くも, kumo,ウン,un
68,永,,水,5,5,2,eternity,なが-い, naga-i,エイ,ei
69,泳,,水,8,3,3,swim,およ-ぐ, oyo-gu,エイ,ei
70,英,,艸,8,4,4,England,,,エイ,ei
71,映,,日,9,6,4,reflect,"うつ-る, うつ-す, は-える"," utsu-ru,  utsu-su,  ha-eru",エイ,ei
72,栄,榮,木,9,4,2,prosperity,"さか-える, は-え, は-える"," saka-eru,  ha-e,  ha-eru",エイ,ei
73,営,營,火,12,5,2,manage,いとな-む, itona-mu,エイ,ei
74,詠,,言,12,S,1,recitation,よ-む, yo-mu,エイ,ei
75,影,,彡,15,S,1,shadow,かげ, kage,エイ,ei
76,鋭,,金,15,S,2,pointed,するど-い, surudo-i,エイ,ei
77,衛,衞,行,16,5,1,defense,,,エイ,ei
78,易,,日,8,5,3,easy,やさ-しい, yasa-shii,"エキ, イ","eki,  i"
79,疫,,疒,9,S,1,epidemic,,,"エキ, （ヤク）","eki,  (yaku)"
80,益,,皿,10,5,1,benefit,,,"エキ, （ヤク）","eki,  (yaku)"
81,液,,水,11,5,2,fluid,,,エキ,eki
82,駅,驛,馬,14,3,4,station,,,エキ,eki
83,悦,,心,10,S,1,ecstasy,,,エツ,etsu
84,越,,走,12,S,3,cross over,"こ-す, こ-える"," ko-su,  ko-eru",エツ,etsu
85,謁,謁,言,15,S,1,audience,,,エツ,etsu
86,閲,,門,15,S,1,review,,,エツ,etsu
87,円,圓,囗,4,1,5,"round, yen",まる-い, maru-i,エン,en
88,延,,廴,8,6,2,prolong,"の-びる, の-べる, の-ばす"," no-biru,  no-beru,  no-basu",エン,en
89,沿,,水,8,6,1,run alongside,そ-う, so-u,エン,en
90,炎,,火,8,S,1,inflammation,ほのお, honoo,エン,en
91,怨,,心,9,S,0,grudge,,,"エン, オン","en,  on"
92,宴,,宀,10,S,1,banquet,,,エン,en
93,媛,,女,12,4,1,princess,,,エン,en
94,援,,手,12,S,1,aid,,,エン,en
95,園,,囗,13,2,3,garden,その, sono,エン,en
96,煙,,火,13,S,3,smoke,"けむ-る, けむり, けむ-い"," kemu-ru,  kemuri,  kemu-i",エン,en
97,猿,,犬,13,S,1,monkey,さる, saru,エン,en
98,遠,,辵,13,2,3,far,とお-い, too-i,"エン, （オン）","en,  (on)"
99,鉛,,金,13,S,1,lead,なまり, namari,エン,en
100,塩,鹽,鹵,13,4,2,salt,しお, shio,エン,en
101,演,,水,14,5,3,perform,,,エン,en
102,縁,緣,糸,15,S,1,affinity,ふち, fuchi,エン,en
103,艶,艷,色,19,S,1,glossy,つや, tsuya,エン,en
104,汚,,水,6,S,2,dirty,"けが-す, けが-れる, けが-らわしい, よご-す, よご-れる, きたな-い"," kega-su,  kega-reru,  kega-rawashii,  yogo-su,  yogo-reru,  kitana-i",オ,o
105,王,,玉,4,1,3,king,,,オウ,ou
106,凹,,凵,5,S,1,concave,,,オウ,ou
107,央,,大,5,3,2,center,,,オウ,ou
108,応,應,心,7,5,2,respond,こた-える, kota-eru,オウ,ou
109,往,,彳,8,5,1,outward journey,,,オウ,ou
110,押,,手,8,S,3,pushed,"お-す, お-さえる"," o-su,  o-saeru",オウ,ou
111,旺,,日,8,S,1,flourishing,,,オウ,ou
112,欧,歐,欠,8,S,2,Europe,,,オウ,ou
113,殴,毆,殳,8,S,1,assault,なぐ-る, nagu-ru,オウ,ou
114,桜,櫻,木,10,5,1,cherry tree,さくら, sakura,オウ,ou
115,翁,,羽,10,S,1,venerable old man,,,オウ,ou
116,奥,奧,大,12,S,2,heart,おく, oku,オウ,ou
117,横,橫,木,15,3,3,side,よこ, yoko,オウ,ou
