Radical ID#,Stroke#,Radical,Meaning,Japanese,Romaji,Extra Readings
1,1,⼀,"one, horizontal stroke",いち,ichi,
2,1,⼁,vertical stroke,たてぼう,tatebou,
3,1,⼂,dot,てん,ten,
4,1,⼃,diagonal sweeping stroke,の,no,{‘top’: ‘のかんむり’}
5,1,⼄,the second ,おつ,otsu,
6,1,⺃,the second,おつ,otsu,
7,1,⼅,vertical stroke with a hook,はねぼう,hanebou,
8,2,⼆,two,に,ni,
9,2,⼇,"lid, top",なべぶた,nabebuta,
10,2,⼈,person,ひと,hito,
11,2,⺅,person ,にんべん,ninben,
12,2,𠆢,person ,ひとやね,hitoyane,
13,2,⼉,human legs,ひとあし,hitoashi,
14,2,⼊,to enter,いる,iru,
15,2,⼋,eight,はち,hachi,{‘kamae’: ‘はちがしら’}
16,2,冂,to enclose,けいがまえ,keigamae,
17,2,⼍,"cover, crown",わかんむり,wakanmuri,
18,2,⼎,ice,にすい,nisui,
19,2,⼏,table,きにょう,kinyou,
20,2,⺇,wind,かぜかんむり,kazekanmuri,
21,2,⼐,"container, open box",かんにょう,kannyou,
22,2,⼑,"knife, sword",かたな,katana,
23,2,⺉,"knife, sword",りっとう,rittou,
24,2,⼒,power,ちから,chikara,
25,2,⼓,to wrap,つつみがまえ,tsutsumigamae,
26,2,⼔,spoon,さじ,saji,
27,2,⼕,box,はこがまえ,hakogamae,
28,2,⼖,"to conceal, hide",かくしがまえ,kakushigamae,
29,2,⼗,ten,じゅう,juu,
30,2,⼘,oracle,ぼく,boku,
31,2,⼙,"stamp, seal",ふしづくり,fushizukuri,
32,2,⼚,cliff,がんだれ,gandare,
33,2,⼛,"private, Katakana Mu",む,mu,
34,2,⼜,"again, right hand",また,mata,
35,3,⼝,mouth,くち,kuchi,{‘left’: ‘くちへん’}
36,3,⼞,"border, territorial boundaries",くにがまえ,kunigamae,
37,3,⼟,earth,つち,tsuchi,"{‘left’,’つちへん’}"
38,3,⼠,"man, scholar, samurai",さむらい,samurai,"{‘top’,’さむらいかんむり’}"
39,3,⼡,to follow,のまた,nomata,
40,3,⼢,to go slowly,なつあし,natsuashi,
41,3,⼣,evening,ゆうべ,yuube,
42,3,⼤,"large, big",だい,dai,
43,3,⼥,woman,おんな,onna,"{‘left’,’おんなへん’}"
44,3,⼦,"child, son",こ,ko,"{‘left’,’こへん’}"
45,3,⼧,"roof, house",うかんむり,ukanmuri,
46,3,⼨,"inch, (2.25 cm)",すん,sun,"{‘right’,’すんづくり’}"
47,3,⼩,small,しょう,shou,
48,3,⺌,small,しょうかんむり,shoukanmuri,
49,3,尢,lame leg,だいのまげあし,dainomageashi,
50,3,⼫,"corpse, awning",しかばね,shikabane,
51,3,⼬,sprout,くさのめ,kusanome,
52,3,⼭,mountain,やま,yama,"{‘left’,’やまへん’, ‘top’: ‘やまかんむり’}"
53,3,⼮,winding river,まがりがわ,magarigawa,
54,3,川,river,さんぼんがわ,sanbongawa,
55,3,⼯,"work, carpenter, skill",たくみ,takumi,"{‘top’,’たくみへん’}"
56,3,⼰,self,おのれ,onore,
57,3,⼱,cloth,はば,haba,"{‘left’,’はばへん’}"
58,3,⼲,"to dry, shield",かん,kan,
59,3,幺,"young, slight",いとがしら,itogashira,
60,3,⼴,slanting roof,まだれ,madare,
61,3,⼵,"to move, stretch",えんにょう,ennyou,
62,3,廾,folded hands,にじゅうあし,nijuuashi,
63,3,⼷,javelin,いぐるみ,igurumi,
64,3,⼸,bow （in archery）,ゆみ,yumi,"{‘left’,’ゆみへん’}"
65,3,⼹,pig’s head,けいがしら,keigashira,
66,3,⺕,pig’s head,けいがしら,keigashira,
67,3,⺔,pig’s head,けいがしら,keigashira,
68,3,⼺,"hair-style, light rays",さんづくり,sanzukuri,
69,3,⼻,"step, stride, street, to go",ぎょうにんべん,gyouninben,
70,3,⺾,grass,くさかんむり,kusakanmuri,
71,3,⻌,"road, walk, to advance",しんにょう,shinnyou,
72,3,⻏,"village, country, city",おおざと,oozato,
73,3,⻖,"hill, mound",こざとへん,kozatohen,
74,3,⺍,Katakana Tsu,つ,tsu,
75,3,⺖,"heart, mind, spirit",りっしんべん,risshinben,
76,3,⺘,hand,てへん,tehen,
77,3,⺡,water,さんずい,sanzui,
78,3,⺨,beast,けものへん,kemonohen,
79,4,⼼,"heart, mind, spirit",こころ,kokoro,
80,4,⺗,"heart, mind, spirit",したごころ,shitagokoro,
81,4,⼽,"spear, weapon",ほこ,hoko,
82,4,⼾,door,と,to,"{‘top-left’,’とだれ’}"
83,4,⼿,hand,て,te,
84,4,⽀,branch,しにょう,shinyou,
85,4,⽁,"activity, to strike, hit",ぼくづくり,bokuzukuri,
86,4,⺙,"activity, to strike, hit",ぼくづくり,bokuzukuri,
87,4,⽂,"literature, letters",ぶん,bun,
88,4,⽃,"big dipper, ladle, 18 liters",ますづくり,masuzukuri,
89,4,⽄,axe,おのづくり,onozukuri,
90,4,⽅,"direction, flag",ほう,hou,"{‘left’,’ほうへん’}"
91,4,⽆,not,むにょう,munyou,
92,4,⽇,"sun, day, time",ひ,hi,"{‘left’,’ひへん’}"
93,4,⽈,to say,ひらび,hirabi,
94,4,⽉,"moon, month, period",つき,tsuki,
95,4,⺝,"moon, month, period",つきへん,tsukihen,
96,4,⽊,"tree, wood",き,ki,"{‘left’,’きへん’}"
97,4,⽋,"to lack, yawn",あくび,akubi,
98,4,⽌,to stop,とめる,tomeru,
99,4,⽍,"death & dying, to decompose",がつ,gatsu,"{‘left’,’がつへん’}"
100,4,⽎,"lance shaft, action",るまた,rumata,
101,4,⽏,"not, mother",なかれ,nakare,
102,4,⽐,to compare,くらべる,kuraberu,
103,4,⽑,hair,け,ke,
104,4,⽒,"family, clan",うじ,uji,
105,4,⽓,"steam, air",きがまえ,kigamae,
106,4,⽔,water,みず,mizu,
107,4,⽕,fire,ひ,hi,"{‘left’,’ひへん’}"
108,4,⺣,fire,れっか,rekka,
109,4,⽖,"claw, nail",つめ,tsume,
110,4,⺤,"claw, nail",つめかんむり,tsumekanmuri,
111,4,爫,"claw, nail",つめかんむり,tsumekanmuri,
112,4,⽗,father,ちち,chichi,
113,4,⽘,to mix,こう,kou,
114,4,⽙,split wood,しょうへん,shouhen,
115,4,⽚,split wood,かた,kata,"{‘left’,’かたへん’}"
116,4,牙,"fang, canine tooth",きば,kiba,
117,4,⽜,cow,うし,ushi,"{‘left’,’うしへん’}"
118,4,⽝,dog,いぬ,inu,
119,4,,"jewelry, jeweled king",おうへん,ouhen,
120,4,⺭,"altar, festival, religious service",しめすへん,shimesuhen,
121,4,㓁,net,あみがしら,amigashira,
122,4,⺹,"old, old-age",おいかんむり,oikanmuri,
123,5,⽞,darkness,げん,gen,
124,5,⽟,jewelry,たま,tama,
125,5,,melon,うり,uri,
126,5,⽡,tile,かわら,kawara,
127,5,⽢,sweet,あまい,amai,
128,5,⽣,"birth, to be born, live",うまれる,umareru,
129,5,⽤,to use,もちいる,mochiiru,
130,5,⽥,rice paddy,た,ta,"{‘left’,’たへん’}"
131,5,⽦,bolt of cloth,ひき,hiki,
132,5,⺪,bolt of cloth,ひきへん,hikihen,
133,5,⽧,sickness,やまいだれ,yamaidare,
134,5,⽨,"outspread legs, departure",はつがしら,hatsugashira,
135,5,⽩,white,しろ,shiro,"{‘left’,’はくへん’}"
136,5,⽪,"skin, hide",けがわ,kegawa,
137,5,⽫,"plate, bowl",さら,sara,
138,5,⽬,eye,め,me,"{‘left’,’めへん’}"
139,5,罒,eye,よこめ,yokome,
140,5,⽭,halberd,ほこ,hoko,"{‘left’,’ほこへん’}"
141,5,⽮,arrow,や,ya,"{‘left’,’やへん’}"
142,5,⽯,stone,いし,ishi,"{‘left’,’いしへん’}"
143,5,⽰,"altar, festival, religious service",しめす,shimesu,
144,5,⽱,footprint,じゅうのあし,juunoashi,
145,5,⽲,grain,のぎへん,nogihen,
146,5,⽳,"hole, cave",あな,ana,"{‘top’,’あなかんむり’}"
147,5,⽴,to stand,たつ,tatsu,"{‘left’,’たつへん’}"
148,5,氺,water,したみず,shitamizu,
149,5,⺫,net,あみがしら,amigashira,
150,5,𦉰 ,net,あみがしら,amigashira,
151,5,⻂,clothing,ころもへん,koromohen,
152,5,⺛,not,むにょう,munyou,
153,6,⽵,bamboo,たけ,take,
154,6,⺮,bamboo,たけかんむり,takekanmuri,
155,6,⽶,rice,こめ,kome,"{‘left’,’こめへん’}"
156,6,⽷,thread,いと,ito,"{‘left’,’いとへん’}"
157,6,糹,thread,いとへん,itohen,
158,6,⽸,earthen jar,みずがめ,mizugame,
159,6,⽹,net,あみめ,amime,
160,6,⽺,sheep,ひつじ,hitsuji,
161,6,⺷,sheep,ひつじ,hitsuji,
162,6,⽻,"feather, wing",はね,hane,
163,6,⽼,"old, old-age",おいかんむり,oikanmuri,
164,6,⽽,and also,しこうして,shikoushite,
165,6,⽾,plow,らいすき,raisuki,
166,6,⽿,ear,みみ,mimi,"{‘left’,’みみへん’}"
167,6,⾀,writing brush,ふでづくり,fudezukuri,
168,6,⾁,"flesh, meat",にく,niku,
169,6,⾃,self,みずから,mizukara,
170,6,⾄,"to arrive, reach",いたる,itaru,"{‘left’,’いたるへん’}"
171,6,⾅,"mortar, quern",うす,usu,
172,6,⾆,tongue,した,shita,
